"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\Development\cobalt\src\app\(admin)\admin\products\[id]\client.tsx", "TypeScript JSX", 2, 0, 0, 0, -1, 1
"d:\Development\cobalt\src\app\(admin)\admin\products\[id]\edit-basic.tsx", "TypeScript JSX", -12, 0, 0, 12, 0, 0
"d:\Development\cobalt\src\app\(admin)\admin\products\[id]\edit-delivery.tsx", "TypeScript JSX", 185, 0, 0, 0, 5, 190
"d:\Development\cobalt\src\app\(admin)\admin\products\data-table.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"d:\Development\cobalt\src\app\(auth)\auth\callback\route.ts", "TypeScript", 0, -3, 0, 4, 0, 1
"d:\Development\cobalt\src\app\(auth)\auth\login\provider-btn.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"d:\Development\cobalt\src\app\(main)\page.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, -1
"d:\Development\cobalt\src\app\(main)\store\checkout\callback\[provider]\complete\page.tsx", "TypeScript JSX", 43, 0, 0, 0, 2, 45
"d:\Development\cobalt\src\app\(main)\store\checkout\callback\[provider]\return\page.tsx", "TypeScript JSX", 29, 0, 0, 0, 2, 31
"d:\Development\cobalt\src\app\(store)\layout.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, -2
"d:\Development\cobalt\src\app\(store)\product-card.tsx", "TypeScript JSX", 6, 0, 0, 0, 1, 7
"d:\Development\cobalt\src\app\(store)\store\cart\checkout-card.tsx", "TypeScript JSX", 130, 0, 0, 1, 5, 136
"d:\Development\cobalt\src\app\(store)\store\cart\checkout-dialog.tsx", "TypeScript JSX", 21, 0, 0, 0, 1, 22
"d:\Development\cobalt\src\app\(store)\store\cart\page.tsx", "TypeScript JSX", 126, 0, 0, 0, 5, 131
"d:\Development\cobalt\src\app\(store)\store\category\[...slug]\images.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, -1
