"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Development\cobalt\src\app\(admin)\admin\@breadcrumbs\[...catchAll]\breadcrumbs.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 6, 58
"d:\Development\cobalt\src\app\(admin)\admin\@breadcrumbs\[...catchAll]\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 1, 11
"d:\Development\cobalt\src\app\(admin)\admin\@breadcrumbs\default.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 0, 3
"d:\Development\cobalt\src\app\(admin)\admin\admin-panel.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 0, 30
"d:\Development\cobalt\src\app\(admin)\admin\category\[id]\client.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 5, 45
"d:\Development\cobalt\src\app\(admin)\admin\category\[id]\edit.tsx", "TypeScript JSX", 191, 0, 0, 0, 15, 3, 209
"d:\Development\cobalt\src\app\(admin)\admin\category\[id]\images.tsx", "TypeScript JSX", 126, 0, 0, 0, 1, 5, 132
"d:\Development\cobalt\src\app\(admin)\admin\category\[id]\page.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 2, 18
"d:\Development\cobalt\src\app\(admin)\admin\category\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 1, 5
"d:\Development\cobalt\src\app\(admin)\admin\layout.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 3, 35
"d:\Development\cobalt\src\app\(admin)\admin\page.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 1, 12
"d:\Development\cobalt\src\app\(admin)\admin\products\[id]\actions-card.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 3, 96
"d:\Development\cobalt\src\app\(admin)\admin\products\[id]\client.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 2, 34
"d:\Development\cobalt\src\app\(admin)\admin\products\[id]\edit-basic.tsx", "TypeScript JSX", 257, 0, 0, 0, 13, 7, 277
"d:\Development\cobalt\src\app\(admin)\admin\products\[id]\edit-delivery.tsx", "TypeScript JSX", 185, 0, 0, 0, 0, 5, 190
