Date : 2024-11-18 22:55:05
Directory : d:\Development\cobalt\src
Total : 158 files,  9832 codes, 386 comments, 800 blanks, all 11018 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        106 |      7,141 |        163 |        543 |      7,847 |
| TypeScript     |         49 |      2,554 |        201 |        247 |      3,002 |
| CSS            |          2 |         86 |          0 |          5 |         91 |
| JavaScript     |          1 |         51 |         22 |          5 |         78 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        158 |      9,832 |        386 |        800 |     11,018 |
| . (Files)                                                                                 |          3 |        255 |         29 |         10 |        294 |
| app                                                                                       |         53 |      3,118 |         55 |        154 |      3,327 |
| app (Files)                                                                               |          3 |         77 |          0 |          8 |         85 |
| app\(admin)                                                                               |         24 |      1,930 |         31 |         69 |      2,030 |
| app\(admin)\admin                                                                         |         24 |      1,930 |         31 |         69 |      2,030 |
| app\(admin)\admin (Files)                                                                 |          3 |         73 |          0 |          4 |         77 |
| app\(admin)\admin\@breadcrumbs                                                            |          3 |         65 |          0 |          7 |         72 |
| app\(admin)\admin\@breadcrumbs (Files)                                                    |          1 |          3 |          0 |          0 |          3 |
| app\(admin)\admin\@breadcrumbs\[...catchAll]                                              |          2 |         62 |          0 |          7 |         69 |
| app\(admin)\admin\category                                                                |          5 |        377 |         16 |         16 |        409 |
| app\(admin)\admin\category (Files)                                                        |          1 |          4 |          0 |          1 |          5 |
| app\(admin)\admin\category\[id]                                                           |          4 |        373 |         16 |         15 |        404 |
| app\(admin)\admin\products                                                                |         11 |      1,328 |         15 |         40 |      1,383 |
| app\(admin)\admin\products (Files)                                                        |          4 |        512 |          0 |         10 |        522 |
| app\(admin)\admin\products\[id]                                                           |          7 |        816 |         15 |         30 |        861 |
| app\(admin)\admin\settings                                                                |          2 |         87 |          0 |          2 |         89 |
| app\(auth)                                                                                |          6 |        128 |         14 |         24 |        166 |
| app\(auth) (Files)                                                                        |          1 |          7 |          0 |          0 |          7 |
| app\(auth)\auth                                                                           |          5 |        121 |         14 |         24 |        159 |
| app\(auth)\auth (Files)                                                                   |          1 |         30 |          4 |         13 |         47 |
| app\(auth)\auth\callback                                                                  |          1 |         20 |          8 |          3 |         31 |
| app\(auth)\auth\confirm                                                                   |          1 |         21 |          2 |          5 |         28 |
| app\(auth)\auth\login                                                                     |          2 |         50 |          0 |          3 |         53 |
| app\(main)                                                                                |          5 |        190 |          0 |         13 |        203 |
| app\(main) (Files)                                                                        |          2 |        106 |          0 |          5 |        111 |
| app\(main)\error                                                                          |          1 |         12 |          0 |          4 |         16 |
| app\(main)\store                                                                          |          2 |         72 |          0 |          4 |         76 |
| app\(main)\store\checkout                                                                 |          2 |         72 |          0 |          4 |         76 |
| app\(main)\store\checkout\callback                                                        |          2 |         72 |          0 |          4 |         76 |
| app\(main)\store\checkout\callback\[provider]                                             |          2 |         72 |          0 |          4 |         76 |
| app\(main)\store\checkout\callback\[provider]\complete                                    |          1 |         43 |          0 |          2 |         45 |
| app\(main)\store\checkout\callback\[provider]\return                                      |          1 |         29 |          0 |          2 |         31 |
| app\(store)                                                                               |         12 |        607 |          5 |         26 |        638 |
| app\(store) (Files)                                                                       |          4 |        123 |          1 |          6 |        130 |
| app\(store)\store                                                                         |          8 |        484 |          4 |         20 |        508 |
| app\(store)\store (Files)                                                                 |          1 |         24 |          0 |          2 |         26 |
| app\(store)\store\cart                                                                    |          3 |        277 |          1 |         11 |        289 |
| app\(store)\store\category                                                                |          4 |        183 |          3 |          7 |        193 |
| app\(store)\store\category\[...slug]                                                      |          4 |        183 |          3 |          7 |        193 |
| app\api                                                                                   |          2 |        180 |          5 |         13 |        198 |
| app\api\checkout                                                                          |          1 |        154 |          1 |          8 |        163 |
| app\api\checkout\webhook                                                                  |          1 |        154 |          1 |          8 |        163 |
| app\api\checkout\webhook\tebex                                                            |          1 |        154 |          1 |          8 |        163 |
| app\api\trpc                                                                              |          1 |         26 |          4 |          5 |         35 |
| app\api\trpc\[trpc]                                                                       |          1 |         26 |          4 |          5 |         35 |
| app\whoami                                                                                |          1 |          6 |          0 |          1 |          7 |
| components                                                                                |         60 |      4,290 |        115 |        415 |      4,820 |
| components (Files)                                                                        |          5 |        179 |          1 |         14 |        194 |
| components\admin                                                                          |          4 |        203 |          0 |         10 |        213 |
| components\admin (Files)                                                                  |          1 |          7 |          0 |          1 |          8 |
